rank,members
1,"['Hysteria#11694', 'Cooba#11994', 119915388, 'ULU#11322']"
2,"['hOlayhOlaY#1737', 'nDeniYal#1455', 116002060, 'hehexd#11162']"
3,"['hehexd#11162', 'nDeniYal#1455', 116002060, 'hOlayhOlaY#1737']"
4,"['Nancy#1995', 'Cooba#11994', 119915388, 'hlyy#1615']"
5,"['MikeBearPig#1189', 'Set#1757', 'ImmortalKing#1296', 'QtriNitY#1647']"
6,"['ImmortalKing#1296', 'Set#1757', 'QtriNitY#1647', 'MikeBearPig#1189']"
7,"['QtriNitY#1647', 'Set#1757', 'ImmortalKing#1296', 'MikeBearPig#1189']"
8,"['Set#1757', 'QtriNitY#1647', 'ImmortalKing#1296', 'MikeBearPig#1189']"
9,"[121028136, 'Supremacy#11286', 'MikeBearPig#1189', 'Ragnar#14990']"
10,"['Mikasa#12305', 'IllIllIllIll#11297', 'Xoro#1921', 'Trienth#6321']"
11,"['IllIllIllIll#11297', 'Mikasa#12305', 'Xoro#1921', 'Trienth#6321']"
12,"['Xoro#1921', 'Mikasa#12305', 'IllIllIllIll#11297', 'Trienth#6321']"
13,"['Trienth#6321', 'Mikasa#12305', 'Xoro#1921', 'IllIllIllIll#11297']"
14,"['FunkyMonk#114746', 'Rafale#11876', 'Set#1757', 121028136]"
15,"['Rafale#11876', 121028136, 'Set#1757', 'FunkyMonk#114746']"
16,"['Brotato#11651', 'Barricader#1646', 'Residuals#11709', 121409804]"
17,"['Barricader#1646', 'Residuals#11709', 'Brotato#11651', 121409804]"
18,"['Residuals#11709', 'Barricader#1646', 'Brotato#11651', 121409804]"
19,"['Jman#1470', 'JulieLove#11842', 'Mikasa#12305', 'Trienth#6321']"
20,"['JulieLove#11842', 'Mikasa#12305', 'Jman#1470', 'Trienth#6321']"
21,"['Haiden#1782', 'SoftSoap#1341', 'thenesbito1#1981', 'chopstorm#1843']"
22,"['SoftSoap#1341', 'Haiden#1782', 'thenesbito1#1981', 'chopstorm#1843']"
23,"['chopstorm#1843', 'SoftSoap#1341', 'thenesbito1#1981', 'Haiden#1782']"
24,"['thenesbito1#1981', 'SoftSoap#1341', 'Haiden#1782', 'chopstorm#1843']"
25,"['Badzz#11131', 'ULU#11322', 'Cooba#11994', 119915388]"
26,"['Kage#1644', 'Supremacy#11286', 'Ragnar#14990', 'MikeBearPig#1189']"
