rank,player,clase
1,Mefesto#1634,barbarian
2,Zara#1458,barbarian
3,Demonic#12617,barbarian
4,Webs#1545,barbarian
5,Shark#1739,barbarian
6,TogMaster#1629,barbarian
7,Morbus#1856,barbarian
8,serro#1366,barbarian
9,ChaosChrist#1721,barbarian
10,PinkDaisy#1792,barbarian
11,MarineZomby#1356,barbarian
12,Althos#1521,barbarian
13,AdeliteHC#1861,barbarian
14,Latios#1344,barbarian
15,RifleSniper#1934,barbarian
16,Ionlymisonce#6164,barbarian
17,Silent#1553,barbarian
18,bigdatty#1631,barbarian
19,Decara#1133,barbarian
20,JAGE#1690,barbarian
21,MaximusG#1463,barbarian
22,Spirited#1737,barbarian
23,Kuttix#11248,barbarian
24,MistressAria#1145,barbarian
25,SkinnyBadBoy#1541,barbarian
26,zOh#1433,barbarian
27,badeath#1852,barbarian
28,Xerra#1155,barbarian
29,Scoot#1714,barbarian
30,Deux#1622,barbarian
31,wormtony1986#1863,barbarian
32,SenatorSmash#1405,barbarian
33,Bulvine#1904,barbarian
34,asystem3rror#1623,barbarian
35,Narcos#11510,barbarian
36,Kago#11947,barbarian
37,Kolli#1764,barbarian
38,FoxQ#3288,barbarian
39,Flyingforces#1186,barbarian
40,groin#1827,barbarian
41,Hefftty#1347,barbarian
42,MaCeDoNiAn#1641,barbarian
43,TheBageler#6876,barbarian
44,dragonbone#1623,barbarian
45,MinLee#1591,barbarian
46,DaRkAngel#11884,barbarian
47,Taterville#1928,barbarian
48,Dante#15811,barbarian
49,Beherrit#1333,barbarian
50,Urath#1623,barbarian
51,OwnedDotcom#1430,barbarian
52,DeathZai#2759,barbarian
53,n0iz3#1536,barbarian
54,Vueren#1840,barbarian
55,Vsizzle#1601,barbarian
56,Banzai#11698,barbarian
57,Nate#1429,barbarian
58,neko#1825,barbarian
59,Quake2#1309,barbarian
60,Nevs#6393,barbarian
61,parchd#1914,barbarian
62,Sherwin#6277,barbarian
63,Montanha#1463,barbarian
