PRODUCTO,SUPERMERCADO,PRECIO,FECHA,CATEGORIA
Marraqueta 500g,Jumbo,1095,2022-11-21,Pan
Marraqueta 500g,Lider,850,2022-11-21,Pan
Marraqueta 500g,Unimarc,1095,2022-11-21,Pan
Marraqueta 500g,Jumbo,1095,2022-11-21,Pan
Marraqueta 500g,Lider,850,2022-11-21,Pan
Marraqueta 500g,Unimarc,1095,2022-11-21,Pan
Marraqueta 500g,Jumbo,1095,2022-11-23,Pan
Marraqueta 500g,Lider,850,2022-11-23,Pan
Marraqueta 500g,Unimarc,1095,2022-11-23,Pan
Marraqueta 500g,Jumbo,1095,2022-11-25,Pan
Marraqueta 500g,Lider,850,2022-11-25,Pan
Marraqueta 500g,Unimarc,1095,2022-11-25,Pan
Marraqueta 500g,Jumbo,1095,2022-11-26,Pan
Marraqueta 500g,Lider,850,2022-11-26,Pan
Marraqueta 500g,Unimarc,1095,2022-11-26,Pan
Marraqueta 500g,Jumbo,1095,2022-11-28,Pan
Marraqueta 500g,Lider,850,2022-11-28,Pan
Marraqueta 500g,Unimarc,1095,2022-11-28,Pan
Marraqueta 500g,Jumbo,1095,2022-12-01,Pan
Marraqueta 500g,Lider,850,2022-12-01,Pan
Marraqueta 500g,Unimarc,1095,2022-12-01,Pan
Marraqueta 500g,Jumbo,1095,2022-12-06,Pan
Marraqueta 500g,Lider,850,2022-12-06,Pan
Marraqueta 500g,Unimarc,1095,2022-12-06,Pan
Marraqueta 500g,Jumbo,1095,2022-12-07,Pan
Marraqueta 500g,Lider,850,2022-12-07,Pan
Marraqueta 500g,Unimarc,1095,2022-12-07,Pan
Marraqueta 500g,Jumbo,1095,2022-12-08,Pan
Marraqueta 500g,Lider,850,2022-12-08,Pan
Marraqueta 500g,Unimarc,1095,2022-12-08,Pan
