PRODUCTO,MARCA,SUPERMERCADO,PRECIO,FECHA,CATEGORIA
Pechuga deshuesada 700g,Ariztia,Lider,5430,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5999,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5430,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,7499,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,6790,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5430,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5490,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5430,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,6190,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,6790,2022-11-21,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-21,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,6790,2022-11-23,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5490,2022-11-23,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-23,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-23,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,6790,2022-11-23,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,6190,2022-11-23,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,6790,2022-11-23,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-23,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5790,2022-11-25,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5490,2022-11-25,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-25,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-25,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5790,2022-11-25,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,6190,2022-11-25,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,5790,2022-11-25,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-25,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5790,2022-11-26,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5490,2022-11-26,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-26,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-26,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5790,2022-11-26,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,6190,2022-11-26,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,5790,2022-11-26,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-26,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5790,2022-11-28,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5999,2022-11-28,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5490,2022-11-28,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,6190,2022-11-28,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5790,2022-11-28,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,7499,2022-11-28,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,5790,2022-11-28,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,4990,2022-11-28,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5790,2022-12-01,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5659,2022-12-01,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5190,2022-12-01,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,5890,2022-12-01,Pollo
Pechuga deshuesada 700g,Super Pollo,Lider,5790,2022-12-01,Pollo
Pechuga deshuesada 700g,Super Pollo,Unimarc,6190,2022-12-01,Pollo
Pechuga deshuesada 700g,Super Pollo,Tottus,5990,2022-12-01,Pollo
Pechuga deshuesada 700g,Super Pollo,Jumbo,5890,2022-12-01,Pollo
Pechuga deshuesada 700g,Ariztia,Lider,5790,2022-12-06,Pollo
Pechuga deshuesada 700g,Ariztia,Unimarc,5659,2022-12-06,Pollo
Pechuga deshuesada 700g,Ariztia,Tottus,5190,2022-12-06,Pollo
Pechuga deshuesada 700g,Ariztia,Jumbo,5890,2022-12-06,Pollo
