jugador,cfn_id,personaje,pais,mr
Renameless,3311873515,Chun-Li,Brasil,2022
JUNINHO-RAS,2622990354,Luke,Brasil,2003
Salvatore_pc,1154684827,Cammy,Venezuela,2002
Killerwal,3381453962,Ken,Chile,2002
Dookie-PC,3277074647,JP,Argentina,2000
Namikaze,2098501894,Dee Jay,Brasil,2000
VrsEnock,2343363350,Kimberly,Brasil,1981
DidimoKOF,3389241176,Dhalsim,Brasil,1978
DARK817-RAS,3886271173,JP,Brasil,1978
chuchuzera01,3909971182,Chun-Li,Brasil,1978
Namikaze,2098501894,Guile,Brasil,1967
Keoma,2796369481,Luke,Brasil,1966
ZydaniFGC,1363370579,Marisa,Brasil,1961
Keoma,2796369481,Manon,Brasil,1950
Renameless,3311873515,Manon,Brasil,1950
Mimam,2601439854,Dhalsim,Brasil,1943
橘橘橘白,2759412830,Blanka,Brasil,1939
Brayan_Job,1488870243,Marisa,Brasil,1935
Leeito94,4249426251,Dee Jay,Argentina,1929
JAH_LEXE,2986074881,Ken,Brasil,1929
younghou,1027356162,Marisa,Chile,1923
Brayan_Job,1488870243,Dee Jay,Brasil,1923
Alemao,1887523552,Ken,Brasil,1921
KyukiVT,1685962915,JP,Brasil,1920
Pedream,2616132292,Ken,Brasil,1919
Blaz11,4153419047,Ken,Chile,1918
vicg94,2684342593,Ken,Brasil,1918
Moipes,2433511334,Cammy,Chile,1917
Dookie-PC,3277074647,Ken,Argentina,1913
Shaka22,3518861911,Dhalsim,Argentina,1910
Niel_,2072437349,Juri,Brasil,1910
RonaldinhoBR,1589295724,Blanka,Brasil,1910
7SLAY,2672530048,JP,Brasil,1905
HKDASH,1886807314,Cammy,Brasil,1903
EL PIRULO,2914363541,JP,Chile,1903
GBRibeiro,4247617304,Dhalsim,Brasil,1901
Zé da Manga,2057736122,JP,Brasil,1900
000001,3360697945,JP,Brasil,1900
WFALCON3D,3474633321,JP,Perú,1900
Broly_,1403832331,Jamie,Brasil,1895
Evilcraa,2026022314,Guile,Chile,1883
theforce90,1346704274,Ken,Brasil,1883
Blaz11,4153419047,Luke,Chile,1881
Limestone09,1685570435,Ken,Colombia,1881
MoMo,1393510973,JP,Brasil,1879
Gust,1679583632,E. Honda,Brasil,1879
Celfcool,3211019278,Dee Jay,Venezuela,1878
DR-Wendson,2325107049,JP,Brasil,1877
Mimam,2601439854,Guile,Brasil,1873
ZeeusInimigo,3484892331,JP,Brasil,1870
Pertusi77,4199727158,Ken,Argentina,1870
BLANKA_NOIA_PC,1761587777,Blanka,Brasil,1868
