jugador,cfn_id,personaje,pais,mr,continente
Brayan_Job,1488870243,Marisa,Brasil,2052,4
Renameless,3311873515,Chun-Li,Brasil,2033,4
chuchuzera01,3909971182,Chun-Li,Brasil,2024,4
JUNINHO-RAS,2622990354,Luke,Brasil,2024,4
Namikaze,2098501894,Dee Jay,Brasil,2022,4
Shaka22,3518861911,Dhalsim,Argentina,2018,4
DARK817-RAS,3886271173,JP,Brasil,2018,4
VrsEnock,2343363350,Kimberly,Brasil,2018,4
Leeito94,4249426251,Dee Jay,Argentina,2018,4
NotPedro,2616132292,Ken,Brasil,2017,4
The New King,1612605460,JP,Perú,2016,4
Dookie-PC,3277074647,JP,Argentina,2015,4
Atma_,3516438373,Luke,Chile,2015,4
ZydaniFGC,1363370579,Marisa,Brasil,2014,4
Salvatore_pc,1154684827,Cammy,Venezuela,2013,4
Brayan_Job,1488870243,Dee Jay,Brasil,2007,4
Keoma,2796369481,Luke,Brasil,2005,4
Killerwal,3381453962,Ken,Chile,2002,4
Broly_,1403832331,Jamie,Brasil,1998,4
Namikaze,2098501894,Guile,Brasil,1966,4
Celfcool,3211019278,Dee Jay,Venezuela,1960,4
Keoma,2796369481,Manon,Brasil,1958,4
HKDASH,1886807314,Cammy,Brasil,1956,4
Mimam,2601439854,Guile,Brasil,1941,4
RonaldinhoBR,1589295724,Blanka,Brasil,1941,4
橘橘橘白,2759412830,Blanka,Brasil,1939,4
DidimoKOF,3389241176,Dhalsim,Brasil,1935,4
KyukiVT,1685962915,JP,Brasil,1935,4
COROTE_666,1761587777,Blanka,Brasil,1924,4
Popibluebeast,4250725960,Chun-Li,Argentina,1917,4
Patelana,2268624580,Juri,Chile,1914,4
Thomas Shelby,2879881438,JP,Brasil,1912,4
Mimam,2601439854,Dhalsim,Brasil,1911,4
Zé da Manga,2057736122,JP,Brasil,1911,4
Niel_,2072437349,Juri,Brasil,1911,4
Pauloweb,1381231849,Rashid,Brasil,1911,4
Namikaze,2098501894,Luke,Brasil,1907,4
